reward_mode,lam,policy,mean_cum_profit,std_cum_profit,mean_final_wvar,std_final_wvar,mean_pairwise_gap,std_pairwise_gap,mean_cum_reward,std_cum_reward
profit,1.0,PPO_profit,1290905.0,14009.05822673316,0.014960993804623495,0.0006781803712196547,0.33459250926971434,0.016105196474883048,1290905.0,14009.05822673316
profit,1.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173066.0,1956.3062132498583
profit,1.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067788.4,3661.214913112859
profit,2.0,PPO_profit,1290905.0,14009.05822673316,0.014960993804623495,0.0006781803712196547,0.33459250926971434,0.016105196474883048,1290905.0,14009.05822673316
profit,2.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173066.0,1956.3062132498583
profit,2.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067788.4,3661.214913112859
profit,5.0,PPO_profit,1290905.0,14009.05822673316,0.014960993804623495,0.0006781803712196547,0.33459250926971434,0.016105196474883048,1290905.0,14009.05822673316
profit,5.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173066.0,1956.3062132498583
profit,5.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067788.4,3661.214913112859
profit,7.0,PPO_profit,1290905.0,14009.05822673316,0.014960993804623495,0.0006781803712196547,0.33459250926971434,0.016105196474883048,1290905.0,14009.05822673316
profit,7.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173066.0,1956.3062132498583
profit,7.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067788.4,3661.214913112859
profit,10.0,PPO_profit,1290905.0,14009.05822673316,0.014960993804623495,0.0006781803712196547,0.33459250926971434,0.016105196474883048,1290905.0,14009.05822673316
profit,10.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173066.0,1956.3062132498583
profit,10.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067788.4,3661.214913112859
profit_wvar_approval,1.0,PPO_profit_wvar_approval,1213155.4,122427.41031092669,0.01799295826129999,0.005056161653891203,0.3625830948352814,0.058724396660017796,1213152.4656321583,122426.90818490018
profit_wvar_approval,1.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173062.4454299095,1956.2689195425228
profit_wvar_approval,1.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067788.2268822577,3661.2161511513846
profit_wvar_approval,2.0,PPO_profit_wvar_approval,1276498.4,11907.984524679228,0.015641969127644692,0.0004512559939295255,0.35703665018081665,0.007768968129273336,1276492.0836268037,11908.189288897047
profit_wvar_approval,2.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173058.890859819,1956.2316263738076
profit_wvar_approval,2.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067788.0537645153,3661.2173891899574
profit_wvar_approval,5.0,PPO_profit_wvar_approval,1286868.8,15697.907330596649,0.015369823653071707,0.0007513539973970464,0.3385221242904663,0.020467620655479482,1286853.699332111,15700.80611080558
profit_wvar_approval,5.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173048.227149547,1956.1197500997728
profit_wvar_approval,5.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067787.5344112883,3661.221103307271
profit_wvar_approval,7.0,PPO_profit_wvar_approval,1281936.8,18259.21936337915,0.015627640780063356,0.000859996699699016,0.3506225347518921,0.014671009986689335,1281915.9896590998,18263.886379690062
profit_wvar_approval,7.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173041.1180093656,1956.045168610776
profit_wvar_approval,7.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067787.188175804,3661.223579386592
profit_wvar_approval,10.0,PPO_profit_wvar_approval,1285834.4,13270.69937267814,0.014674471339364278,0.00029804639806859317,0.3359610438346863,0.014899224111345368,1285807.9943907983,13273.418374181523
profit_wvar_approval,10.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173030.4542990942,1955.9333004183834
profit_wvar_approval,10.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067786.668822577,3661.2272935071483
profit_wvar_mean,1.0,PPO_profit_wvar_mean,1292773.0,7847.4337716224145,0.01516699241131438,0.00035724834927283684,0.3415572762489319,0.01593431288884599,1292772.2505643617,7847.4253515689115
