reward_mode,lam,policy,mean_cum_profit,std_cum_profit,mean_final_wvar,std_final_wvar,mean_pairwise_gap,std_pairwise_gap,mean_cum_reward,std_cum_reward
profit,1.0,PPO_profit,1285990.0,0.0,0.01562788077187265,0.0,0.35675907135009766,0.0,1285990.0,0.0
profit,1.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1173066.0,1956.3062132498583
profit,1.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067788.4,3661.214913112859
