reward_mode,lam,policy,mean_cum_profit,std_cum_profit,mean_cum_gap,std_cum_gap,mean_cum_reward,std_cum_reward
profit_dp,0.1,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,2095.5650000000005,67.63816943610085
profit_dp,0.1,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,1686.0566666666666,129.78472952376
profit_dp,1.0,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,2079.65,65.95859660928696
profit_dp,1.0,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,1680.5666666666668,129.54914803099058
profit_dp,10.0,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,1920.5,49.34619201789206
profit_dp,10.0,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,1625.6666666666667,127.25555216003568
profit_dp,100.0,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,329.0,126.95143428361364
profit_dp,100.0,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,1076.6666666666667,111.79246645259937
profit_dp,1000.0,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,-15586.0,1853.8027582962181
profit_dp,1000.0,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,-4413.333333333333,441.47203258593373
profit_gap,0.1,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,2095.9553259094555,67.72110659312395
profit_gap,0.1,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,1685.5344348738593,129.81494731768208
profit_gap,1.0,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,2083.5532590945563,66.78722130927241
profit_gap,1.0,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,1675.344348738591,129.8512692947024
profit_gap,10.0,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,1959.5325909455617,57.51820691117212
profit_gap,10.0,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,1573.4434873859088,130.26967423939996
profit_gap,100.0,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,719.3259094556173,46.721768766529344
profit_gap,100.0,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,554.4348738590876,139.6801541487182
profit_gap,1000.0,ProfitMax,2097.3333333333335,67.82493805542488,13.78007423877716,1.0801996941877077,-11682.740905443827,1015.1726346575866
profit_gap,1000.0,DemographicParity,1686.6666666666667,129.81097368438805,11.32231792807579,0.4036865118457626,-9635.651261409124,436.02061246192926
