reward_mode,lam,policy,mean_cum_profit,std_cum_profit,mean_final_wvar,std_final_wvar,mean_pairwise_gap,std_pairwise_gap,mean_cum_reward,std_cum_reward
profit_wvar_mean,100.0,PPO_profit_wvar_mean,1280788.6,12868.153520999042,0.015446553240829723,0.0003537826831285478,0.3462236523628235,0.013222256747623163,1280712.8796422242,12869.562272383
profit_wvar_mean,100.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1172990.3450194672,1955.6921087067064
profit_wvar_mean,100.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067731.7971063717,3661.857076886556
profit_wvar_mean,1000.0,PPO_profit_wvar_mean,1287278.0,23527.09869065882,0.015049407254007089,0.0012029993213573862,0.34029163122177125,0.014540690878324547,1286542.6578416834,23555.179244123105
profit_wvar_mean,1000.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1172309.450194671,1950.1785321244997
profit_wvar_mean,1000.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1067222.3710637146,3667.6395681236763
profit_wvar_mean,10000.0,PPO_profit_wvar_mean,1291117.6,10995.635563258726,0.015149150213661856,0.00070062463567142,0.33637778759002684,0.016265968723751252,1283593.26895612,11232.634262352582
profit_wvar_mean,10000.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1165500.5019467107,1896.4081126537178
profit_wvar_mean,10000.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1062128.110637146,3725.7580274074676
profit_wvar_mean,100000.0,PPO_profit_wvar_mean,1257739.2,39298.162508697525,0.015920947668870318,0.0014335924429535697,0.3489550232887268,0.012873792098427948,1180710.3727412208,44892.92897579096
profit_wvar_mean,100000.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,1097411.0194671089,1542.7563359391697
profit_wvar_mean,100000.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,1011185.5063714616,4331.828625448867
profit_wvar_mean,1000000.0,PPO_profit_wvar_mean,1149381.4,8191.135662409701,0.016076093549249642,0.0003550254023550206,0.331963324546814,0.003274972359856516,373036.33042934927,13455.80235893545
profit_wvar_mean,1000000.0,ProfitMax,1173066.0,1956.3062132498583,0.015416931369852994,0.0001743243774887239,0.3182929277420044,0.0027993968453620967,416516.19467108726,8684.661570259012
profit_wvar_mean,1000000.0,DemographicParity,1067788.4,3661.214913112859,0.010570634688029375,0.00012596990479983843,0.29444841146469114,0.009077273794088883,501759.46371461515,11236.243227923987
